"","subject","trial_index","rt","trial_type","stim_type","cue","top_opt","bottom_opt","responses","variable_type"
"122","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","bút sáp","tranh vẽ","cọ","tranh vẽ",NA
"123","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","san hô","cá mập","cá heo","cá heo",NA
"124","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","máy ảnh","máy hút bụi","đồng hồ","máy hút bụi",NA
"125","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","người bán hàng","cửa hàng","chợ","cửa hàng",NA
"126","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","nhà vô địch","người nổi tiếng","vận động viên","vận động viên",NA
"127","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","attention check","Chọn sân bay","sân bay","hành khách","sân bay",NA
"128","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","xe hơi","xe đạp","lốp","lốp",NA
"129","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","sóc","hạt dẻ","chuột","hạt dẻ",NA
"130","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","khăn quàng cổ","tất","mũ len","mũ len",NA
"131","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","nấm","cà tím","bí đỏ","cà tím",NA
"132","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","dừa","xoài","cây","xoài",NA
"133","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","ông","cậu","chị","cậu",NA
"134","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","áo khoác","áo len","dù","áo len",NA
"135","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","mũ bảo hiểm","nón","xe máy","xe máy",NA
